,Method,Accuracy,F1,Recall
96,Emb_chive+KN,1.0,1.0,1.0
97,Emb_chive+RF,0.9934747145187602,0.9937759336099585,0.9891584925141972
98,Emb_chive+LGB,1.0,1.0,1.0
99,Emb_chive+MLP1,0.9994562262098967,0.9994837377387713,0.9994837377387713
100,Emb_chive+MLP2,0.9997281131049484,0.9997418022205009,0.9994837377387713
101,Emb_chive+MLP3,0.9970092441544317,0.9971627547072479,0.9979349509550852
102,Emb_chive+AB1,1.0,1.0,1.0
103,Emb_chive+AB2,1.0,1.0,1.0
104,Emb_chive_tfidf+LR,0.8947797716150081,0.9036594473487677,0.9370160041300981
105,Emb_chive_tfidf+RID,0.797716150081566,0.8254340685124354,0.9081053175012906
106,Emb_chive_tfidf+LSVC,0.877379010331702,0.8893794456708365,0.9359834796076407
107,Emb_chive_tfidf+SVC,0.9176182707993474,0.92472049689441,0.9607640681466185
108,Emb_chive_tfidf+NB,0.7501359434475259,0.7914681189017472,0.9003613835828601
109,Emb_chive_tfidf+KN,0.9959216965742251,0.9961429673437902,1.0
110,Emb_chive_tfidf+RF,0.9706362153344209,0.972236503856041,0.9762519359834796
111,Emb_chive_tfidf+LGB,0.9953779227841218,0.9955992751747347,0.9927723283427982
112,Emb_chive_tfidf+AB1,0.9964654703643284,0.9966329966329966,0.9932885906040269
113,Emb_chive_tfidf+AB2,0.9964654703643284,0.9966329966329966,0.9932885906040269
114,Emb_chive_tfidf+MLP1,0.9361065796628603,0.9394485957227517,0.9411461022199277
115,Emb_chive_tfidf+MLP2,0.9445350734094616,0.947799385875128,0.9561177077955602
116,Emb_chive_tfidf+MLP3,0.9524197933659597,0.9551397077672392,0.9617965926690759
117,fasttext,0.9915715062533986,0.9920164821014679,0.9943211151264842
118,CLTOHOKU1,0.9608482871125612,0.9624413145539906,0.9525038719669592
119,CLTOHOKU2,0.9649265905383361,0.9663448995564832,0.9561177077955602
120,CLTOHOKU3,0.967373572593801,0.9689922480620156,0.9679917398038204
121,CLTOHOKU4,0.9651984774333877,0.9665970772442589,0.9561177077955602
122,CLTOHOKU5,0.964110929853181,0.9654631083202511,0.9525038719669592
123,MEDBERT1,0.9806960304513322,0.9816490049108296,0.9803820340733093
124,MEDBERT2,0.9831430125067971,0.9839211618257262,0.9793495095508519
125,MEDBERT3,0.9845024469820555,0.9852903225806453,0.9855446566855963
126,MEDBERT4,0.9825992387166939,0.9833852544132917,0.9778007227671657
127,MEDBERT5,0.9760739532354541,0.9771547248182763,0.9716055756324212
128,UTHBERT1,0.9630233822729745,0.9647119875454073,0.959731543624161
129,UTHBERT2,0.9709081022294725,0.9723442750064616,0.9710893133711925
130,UTHBERT3,0.9646547036432844,0.9663908996897621,0.9648941662364481
131,UTHBERT4,0.9698205546492659,0.9713104161281985,0.9700567888487351
132,UTHBERT5,0.9687330070690593,0.9703225806451612,0.9705730511099638
